time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-06 00:00:00+00:00,35,27,1844,415
2023-02-07 00:00:00+00:00,48,31,1837,393
2023-02-08 00:00:00+00:00,19,19,1774,383
2023-02-09 00:00:00+00:00,34,27,1836,364
2023-02-10 00:00:00+00:00,50,37,1715,350
2023-02-11 00:00:00+00:00,20,14,1219,232
2023-02-12 00:00:00+00:00,16,15,1391,232
2023-02-13 00:00:00+00:00,27,24,1955,389
2023-02-14 00:00:00+00:00,32,24,1674,344
2023-02-15 00:00:00+00:00,37,28,2275,385
2023-02-16 00:00:00+00:00,23,22,2173,371
2023-02-17 00:00:00+00:00,25,21,1600,367
2023-02-18 00:00:00+00:00,21,18,1425,249
2023-02-19 00:00:00+00:00,21,17,1653,236
