time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,27,25,1368,266
2025-03-08 00:00:00+00:00,21,20,724,170
2025-03-09 00:00:00+00:00,24,17,648,165
2025-03-10 00:00:00+00:00,33,27,1252,259
2025-03-11 00:00:00+00:00,23,18,1347,275
2025-03-12 00:00:00+00:00,28,27,1583,319
2025-03-13 00:00:00+00:00,26,20,1228,280
2025-03-14 00:00:00+00:00,25,21,1334,281
2025-03-15 00:00:00+00:00,42,11,1036,173
2025-03-16 00:00:00+00:00,13,10,712,170
2025-03-17 00:00:00+00:00,26,17,1098,262
2025-03-18 00:00:00+00:00,17,15,1485,275
2025-03-19 00:00:00+00:00,23,21,1397,275
2025-03-20 00:00:00+00:00,12,11,881,241
