time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,179,29,347,105
2026-04-05 00:00:00+00:00,190,23,573,123
2026-04-06 00:00:00+00:00,151,30,627,163
2026-04-07 00:00:00+00:00,208,24,650,157
2026-04-08 00:00:00+00:00,110,25,575,172
2026-04-09 00:00:00+00:00,130,28,793,187
2026-04-10 00:00:00+00:00,204,28,613,157
2026-04-11 00:00:00+00:00,172,24,361,115
2026-04-12 00:00:00+00:00,148,21,369,112
2026-04-13 00:00:00+00:00,154,26,497,151
2026-04-14 00:00:00+00:00,124,20,471,161
2026-04-15 00:00:00+00:00,62,26,494,166
2026-04-16 00:00:00+00:00,56,22,488,174
2026-04-17 00:00:00+00:00,46,18,566,136
