time_iso8601,stars_cumulative
2018-08-14 00:00:00+00:00,1073
2018-08-15 00:00:00+00:00,1077
2018-08-16 00:00:00+00:00,1079
2018-08-17 00:00:00+00:00,1083
2018-08-18 00:00:00+00:00,1085
2018-08-19 00:00:00+00:00,1086
2018-08-20 00:00:00+00:00,1089
2018-08-21 00:00:00+00:00,1096
2018-08-22 00:00:00+00:00,1101
2018-08-23 00:00:00+00:00,1104
2018-08-24 00:00:00+00:00,1105
2018-08-25 00:00:00+00:00,1112
2018-08-26 00:00:00+00:00,1114
2018-08-27 00:00:00+00:00,1115
2018-08-28 00:00:00+00:00,1119
2018-08-29 00:00:00+00:00,1120
2018-08-30 00:00:00+00:00,1124
2018-08-31 00:00:00+00:00,1125
2018-09-01 00:00:00+00:00,1130
2018-09-02 00:00:00+00:00,1132
2018-09-03 00:00:00+00:00,1135
2018-09-04 00:00:00+00:00,1138
2018-09-05 00:00:00+00:00,1140
2018-09-06 00:00:00+00:00,1145
2018-09-07 00:00:00+00:00,1152
2018-09-08 00:00:00+00:00,1156
2018-09-09 00:00:00+00:00,1161
2018-09-10 00:00:00+00:00,1163
2018-09-11 00:00:00+00:00,1164
2018-09-12 00:00:00+00:00,1169
2018-09-13 00:00:00+00:00,1176
2018-09-14 00:00:00+00:00,1180
2018-09-15 00:00:00+00:00,1185
2018-09-16 00:00:00+00:00,1188
2018-09-17 00:00:00+00:00,1191
2018-09-18 00:00:00+00:00,1194
2018-09-19 00:00:00+00:00,1198
2018-09-20 00:00:00+00:00,1203
2018-09-21 00:00:00+00:00,1205
2018-09-22 00:00:00+00:00,1207
2018-09-23 00:00:00+00:00,1208
2018-09-24 00:00:00+00:00,1211
2018-09-25 00:00:00+00:00,1213
2018-09-26 00:00:00+00:00,1216
2018-09-27 00:00:00+00:00,1218
2018-09-28 00:00:00+00:00,1221
2018-09-29 00:00:00+00:00,1222
2018-09-30 00:00:00+00:00,1223
2018-10-01 00:00:00+00:00,1227
2018-10-02 00:00:00+00:00,1233
2018-10-03 00:00:00+00:00,1235
2018-10-04 00:00:00+00:00,1237
2018-10-05 00:00:00+00:00,1240
2018-10-07 00:00:00+00:00,1244
2018-10-08 00:00:00+00:00,1251
2018-10-09 00:00:00+00:00,1256
2018-10-10 00:00:00+00:00,1260
2018-10-11 00:00:00+00:00,1262
2018-10-12 00:00:00+00:00,1264
2018-10-13 00:00:00+00:00,1265
2018-10-14 00:00:00+00:00,1268
2018-10-15 00:00:00+00:00,1269
2018-10-19 00:00:00+00:00,1272
2018-10-20 00:00:00+00:00,1273
2018-10-21 00:00:00+00:00,1275
2018-10-22 00:00:00+00:00,1278
2018-10-23 00:00:00+00:00,1283
2018-10-24 00:00:00+00:00,1294
2018-10-25 00:00:00+00:00,1302
2018-10-26 00:00:00+00:00,1305
2018-10-27 00:00:00+00:00,1309
2018-10-28 00:00:00+00:00,1314
2018-10-29 00:00:00+00:00,1319
2018-10-30 00:00:00+00:00,1326
2018-10-31 00:00:00+00:00,1333
2018-11-01 00:00:00+00:00,1341
2018-11-02 00:00:00+00:00,1348
2018-11-03 00:00:00+00:00,1351
2018-11-04 00:00:00+00:00,1353
2018-11-05 00:00:00+00:00,1357
2018-11-06 00:00:00+00:00,1362
2018-11-07 00:00:00+00:00,1366
2018-11-08 00:00:00+00:00,1375
2018-11-09 00:00:00+00:00,1380
2018-11-10 00:00:00+00:00,1382
2018-11-11 00:00:00+00:00,1384
2018-11-12 00:00:00+00:00,1388
